id,docket,party,itemName,erpItemCode,rmItemCode,productCostActual,productCostExpected,productStatus,costActual,costExpected,costStatus,qrStatus,vaPercent,quotedRate
"cmraox5kt01g5o0v3cz1o0e09","GMD/2026-27/066","LCC Projects Limited","Providing DI D/F Butterfly valves IS 13095 with ISI Mark (PN-1.0/1.6) as Isolation Valves 
 1000 mm dia.","FBD010161","FBC010161","","","NULL_BOTH","","","NULL_BOTH","","35",""
"cmraox5kt01g4o0v3g3dgged5","GMD/2026-27/066","LCC Projects Limited","Providing DI D/F Butterfly valves IS 13095 with ISI Mark (PN-1.0/1.6) as Isolation Valves 
 800 mm dia.","FBD010121","FBC010121","","","NULL_BOTH","","","NULL_BOTH","","35",""
"cmraox5kt01g8o0v376oqs6ro","GMD/2026-27/066","LCC Projects Limited","SITC of double flanged Sluice Valve generally conforming to IS :780 / IS : 2906, (PN 1.0/1.6) with ISI Mark-and including SS Expansion Bellow 350 mm dia. Sluice Valve","FSD040028","RSD130032","","","NULL_BOTH","","","NULL_BOTH","","20",""
"cmraox5lt01hjo0v38u78u28s","GMD/2026-27/070","LCC Projects Limited","Providing, lowering, aligning, fixing in position in pipe line, DI D/F resilient seated (soft seated) short body pattern type double eccentric Butterfly valves of approved make of following class & dia complete confirming to BS EN 593/ BS 5155/ IS 13095/1991 amended up to date and of followingClass PN 1.0, Motorised Operated700 mm dia","FBC010081","FBD020643","92200","92200","MATCH","99576","99576","MATCH","QR_MISMATCH exp~156324.4","56.99","156320.00"
"cmraox5lt01hso0v3o8wma1ub","GMD/2026-27/070","LCC Projects Limited","Providing, lowering, laying, aligning, fixing in position and jointing CI dismantling joint (Suitable for Sluice valves etc.) as per IS specifications complete of the following sizes including all jointing material, cost of all labour, testing and commissioning Technical Specifications and as per direction of Engineer. Class PN 1.0450 MM","FSD040159","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","20",""
"cmraox5lt01h5o0v3fbkjj1lg","GMD/2026-27/070","LCC Projects Limited","Manually Operated Butterfly Valve PN-1.0600 mm dia (With Gear Operated)","FBD010161","FBC010161","","","NULL_BOTH","","","NULL_BOTH","","35",""
"cmraox5lt01hno0v3rzrn947b","GMD/2026-27/070","LCC Projects Limited","Providing, lowering, laying, aligning, fixing in position and jointing CI dismantling joint (Suitable for Sluice valves etc.) as per IS specifications complete of the following sizes including all jointing material, cost of all labour, testing and commissioning Technical Specifications and as per direction of Engineer. Class PN 1.0200 MM","FSC060011","RSD120003","1600","1600","MATCH","1728","1728","MATCH","QR_OK","493.17","10250.00"
"cmraox5lt01hio0v3lc57ksl5","GMD/2026-27/070","LCC Projects Limited","Providing, lowering, aligning, fixing in position in pipe line, DI D/F resilient seated (soft seated) short body pattern type double eccentric Butterfly valves of approved make of following class & dia complete confirming to BS EN 593/ BS 5155/ IS 13095/1991 amended up to date and of followingClass PN 1.0, Motorised Operated600 mm dia","FBC010061","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","35",""
"cmraox5lt01gyo0v30231dv56","GMD/2026-27/070","LCC Projects Limited","Manually Operated CI Sluice valve of Class PN-1.0250 mm HW","FSD040084","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","20",""
"cmraox5lt01hro0v3xuo8smo4","GMD/2026-27/070","LCC Projects Limited","Providing, lowering, laying, aligning, fixing in position and jointing CI dismantling joint (Suitable for Sluice valves etc.) as per IS specifications complete of the following sizes including all jointing material, cost of all labour, testing and commissioning Technical Specifications and as per direction of Engineer. Class PN 1.0400 MM","FSD040037","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","20",""
"cmraox5lt01h3o0v3mvlrkmfe","GMD/2026-27/070","LCC Projects Limited","Manually Operated Butterfly Valve PN-1.0400 mm dia (With Gear Operated)","FBD010161","FBC010161","","","NULL_BOTH","","","NULL_BOTH","","35",""
"cmraox5lt01h6o0v3b3kjtgug","GMD/2026-27/070","LCC Projects Limited","Manually Operated Butterfly Valve PN-1.0700 mm dia (With Gear Operated)","FBD010161","FBC010161","","","NULL_BOTH","","","NULL_BOTH","","35",""
"cmraox5lt01h2o0v30li6a1gw","GMD/2026-27/070","LCC Projects Limited","Manually Operated Butterfly Valve PN-1.0250 mm dia","FBC010487","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","50",""
"cmraox5lt01gxo0v34z4mnlfe","GMD/2026-27/070","LCC Projects Limited","Manually Operated CI Sluice valve of Class PN-1.0200 mm HW (For Scouring)","FSC060011","RSD120003","1600","1600","MATCH","1728","1728","MATCH","QR_OK","493.17","10250.00"
"cmraox5lt01hmo0v3gv7x9es3","GMD/2026-27/070","LCC Projects Limited","Providing, lowering, laying, aligning, fixing in position and jointing CI dismantling joint (Suitable for Sluice valves etc.) as per IS specifications complete of the following sizes including all jointing material, cost of all labour, testing and commissioning Technical Specifications and as per direction of Engineer. Class PN 1.0150 MM","FSD040002","RSD110023","","","NULL_BOTH","","","NULL_BOTH","","25",""
"cmraox5lt01hko0v3dhyr8at0","GMD/2026-27/070","LCC Projects Limited","Providing, lowering, aligning, fixing in position in pipe line, DI D/F resilient seated (soft seated) short body pattern type double eccentric Butterfly valves of approved make of following class & dia complete confirming to BS EN 593/ BS 5155/ IS 13095/1991 amended up to date and of followingClass PN 1.0, Motorised Operated1200 mm dia","FBC010201","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","65",""
"cmraox5lt01hoo0v3310sb8r7","GMD/2026-27/070","LCC Projects Limited","Providing, lowering, laying, aligning, fixing in position and jointing CI dismantling joint (Suitable for Sluice valves etc.) as per IS specifications complete of the following sizes including all jointing material, cost of all labour, testing and commissioning Technical Specifications and as per direction of Engineer. Class PN 1.0250 MM","FSD040084","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","20",""
"cmraox5ls01gio0v3mqakh06c","GMD/2026-27/068","ALCON CONSULTING ENGINEERS (INDIA) PVT LTD","Surge control Valve PN - 10.0400dia (mm)","FCF180005","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","200",""
"cmraox5lt01hlo0v35xb6m0rx","GMD/2026-27/070","LCC Projects Limited","Providing, lowering, laying, aligning, fixing in position and jointing CI dismantling joint (Suitable for Sluice valves etc.) as per IS specifications complete of the following sizes including all jointing material, cost of all labour, testing and commissioning Technical Specifications and as per direction of Engineer. Class PN 1.0100 MM","FSD040001","RSD110001","","","NULL_BOTH","","","NULL_BOTH","","25",""
"cmraox5lt01h1o0v3m464a2bz","GMD/2026-27/070","LCC Projects Limited","Motorized Sluice Valves with Electric Actuator with integral starter of Class PN 1.0200 mm dia","FSD040020","","","","NO_BOM_FOR_CODE","58294","","PRODUCT_NULL_BUT_COST_EXISTS","QR_MISMATCH exp~72867.5","25","72870.00"
"cmraox5lt01hpo0v3fgefnvkb","GMD/2026-27/070","LCC Projects Limited","Providing, lowering, laying, aligning, fixing in position and jointing CI dismantling joint (Suitable for Sluice valves etc.) as per IS specifications complete of the following sizes including all jointing material, cost of all labour, testing and commissioning Technical Specifications and as per direction of Engineer. Class PN 1.0300 MM","FSD040003","RCB040002","","","NULL_BOTH","","","NULL_BOTH","","20",""
"cmraox5lt01hho0v323lamcmk","GMD/2026-27/070","LCC Projects Limited","Providing, lowering, aligning, fixing in position in pipe line, DI D/F resilient seated (soft seated) short body pattern type double eccentric Butterfly valves of approved make of following class & dia complete confirming to BS EN 593/ BS 5155/ IS 13095/1991 amended up to date and of followingClass PN 1.0, Motorised Operated500 mm dia","FBC010041","","","","NO_BOM_FOR_CODE","17000","","PRODUCT_NULL_BUT_COST_EXISTS","QR_OK","35","22950.00"
"cmraox5lt01hqo0v36mm5a5fd","GMD/2026-27/070","LCC Projects Limited","Providing, lowering, laying, aligning, fixing in position and jointing CI dismantling joint (Suitable for Sluice valves etc.) as per IS specifications complete of the following sizes including all jointing material, cost of all labour, testing and commissioning Technical Specifications and as per direction of Engineer. Class PN 1.0350 MM","FSD040028","RSD130032","","","NULL_BOTH","","","NULL_BOTH","","20",""
"cmraox5lt01hto0v3dcvx7239","GMD/2026-27/070","LCC Projects Limited","Providing, lowering, laying, aligning, fixing in position and jointing CI dismantling joint (Suitable for Sluice valves etc.) as per IS specifications complete of the following sizes including all jointing material, cost of all labour, testing and commissioning Technical Specifications and as per direction of Engineer. Class PN 1.0600 MM","FSD040091","","","","NO_BOM_FOR_CODE","110725","","PRODUCT_NULL_BUT_COST_EXISTS","QR_MISMATCH exp~143942.5","30","143940.00"
"cmraox5ud01iwo0v3xiz674hm","GMD/2026-27/071","Maxwell Project Private Limited","Manual Ball On-Off Valves MOC- (SS-304) (with out spare) Socket End #150 -WEDGE/DISC/BALL-SS-30465 NB x PN-10","FCE070023","FBD010509","378.5833333333333","378.5833333333333","MATCH","408.87","408.87","MATCH","QR_OK","2250.38","9610.00"
"cmraox5ud01jbo0v36rquxwj1","GMD/2026-27/071","Maxwell Project Private Limited","Manual Ball On-Off Valves MOC- (SS-316) (with out spare)Flanged End #150 -WEDGE/DISC/BALL-SS-SS-31640 NB x PN-10","FCE070023","FBD010509","378.5833333333333","378.5833333333333","MATCH","408.87","408.87","MATCH","QR_OK","2250.38","9610.00"
"cmraox5ud01izo0v365bj8d47","GMD/2026-27/071","Maxwell Project Private Limited","Manual Ball On-Off Valves MOC- (SS-316) (with out spare) ANSI B16.5 #150 -WEDGE/DISC/BALL-SS-SS-31625 NB x PN-10","FCE070023","FBD010509","378.5833333333333","378.5833333333333","MATCH","408.87","408.87","MATCH","QR_OK","2250.38","9610.00"
"cmraox5ud01iuo0v3acs3fe8s","GMD/2026-27/071","Maxwell Project Private Limited","Manual Ball On-Off Valves MOC- (SS-304) (with out spare) Socket End #150 -WEDGE/DISC/BALL-SS-30425 NB x PN-10","FCE070023","FBD010509","378.5833333333333","378.5833333333333","MATCH","408.87","408.87","MATCH","QR_OK","2250.38","9610.00"
"cmraox5ud01ivo0v30tg4ny32","GMD/2026-27/071","Maxwell Project Private Limited","Manual Ball On-Off Valves MOC- (SS-304) (with out spare) Socket End #150 -WEDGE/DISC/BALL-SS-30440 NB x PN-10","FCE070023","FBD010509","378.5833333333333","378.5833333333333","MATCH","408.87","408.87","MATCH","QR_OK","2250.38","9610.00"
